graph_id,world,arm,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode
graph_00,industrial_cooling_system,core_oracle_estimated_weights,20,,pending,1.0,0.6755912192109879,0.28464285714285714,0.0,0.75,0.0
graph_00,industrial_cooling_system,core_oracle_true_weights,20,,pending,0.9,0.734515185963214,0.27193452380952376,0.0,0.7,0.0
graph_00,industrial_cooling_system,core_reversed_graph,20,,pending,0.9,0.8637035913610545,0.2731913919413919,0.0,0.55,0.0
graph_00,industrial_cooling_system,core_shuffled_graph,400,,pending,0.38,0.7104370248475407,0.15465465811063722,0.005,0.2825,0.005
graph_00,industrial_cooling_system,raw_correlation,20,,pending,0.8,0.9146260646567672,0.114473764539554,0.0,0.2,0.0
graph_00,industrial_cooling_system,uniform,20,,pending,0.4,0.9139748912782457,0.07957599267777286,0.0,0.0,0.0
graph_01,logistics_and_delivery_system,core_oracle_estimated_weights,20,,pending,0.5,0.811584567934097,0.2044877344877345,0.0,0.5,0.0
graph_01,logistics_and_delivery_system,core_oracle_true_weights,20,,pending,0.5,0.8271577106642699,0.1969462481962482,0.0,0.45,0.0
graph_01,logistics_and_delivery_system,core_reversed_graph,20,,pending,0.65,0.8844895597054236,0.16861758339699515,0.0,0.35,0.0
graph_01,logistics_and_delivery_system,core_shuffled_graph,400,,pending,0.3625,0.7425099267011995,0.14679443975786854,0.0025,0.25,0.0025
graph_01,logistics_and_delivery_system,raw_correlation,20,,pending,0.55,0.9178264361156435,0.11999875124875123,0.0,0.15,0.0
graph_01,logistics_and_delivery_system,uniform,20,,pending,0.2,0.9171407074149116,0.095083748810529,0.0,0.1,0.0
graph_02,water_treatment_system,core_oracle_estimated_weights,20,,pending,0.55,0.7493417915484855,0.17232870779890902,0.0,0.4,0.0
graph_02,water_treatment_system,core_oracle_true_weights,20,,pending,0.65,0.7993408917167479,0.1637562845651081,0.0,0.45,0.0
graph_02,water_treatment_system,core_reversed_graph,20,,pending,0.6,0.8798115279626542,0.17817927170868347,0.0,0.45,0.0
graph_02,water_treatment_system,core_shuffled_graph,400,,pending,0.385,0.7443786010538657,0.150276429205899,0.0025,0.265,0.0025
graph_02,water_treatment_system,raw_correlation,20,,pending,0.8,0.9152548404360104,0.11459928444448568,0.0,0.1,0.0
graph_02,water_treatment_system,uniform,20,,pending,0.2,0.9148814810490118,0.10135134666674914,0.0,0.1,0.0
