graph_id,world,shuffle_id,permutation_index,permutation_seed,permutation,permutation_sha256,adjacency_sha256,edge_count,support_validated,n,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,oracle_minus_shuffle_match_acc,oracle_minus_shuffle_gold_embedding_cosine,oracle_minus_shuffle_mrr,oracle_minus_shuffle_recall_at_1,oracle_minus_shuffle_recall_at_5,oracle_minus_shuffle_exact_decode
graph_00,industrial_cooling_system,shuffle_00,0,74101,"[18, 7, 19, 14, 0, 10, 12, 8, 16, 9, 3, 13, 11, 4, 6, 2, 17, 5, 15, 1]",c304196ad064d0ec366d212e3d2720f2f879d31ff35bea7787da47b5e0e8e6fb,df3840a168c4d1e896a424d7618bd857474b1a74e38dccd56d43865d5069ae4d,26,1,20,0.55,0.6574884144418489,0.17527102283681234,0.0,0.35,0.0,0.44999999999999996,0.018102804769138947,0.1093718343060448,0.0,0.4,0.0
graph_00,industrial_cooling_system,shuffle_01,1,74102,"[4, 3, 17, 11, 5, 13, 14, 15, 6, 10, 8, 0, 7, 2, 9, 16, 1, 19, 12, 18]",ab73aff34a4b5fc5fe8a78ff00f7f1854f7d9d561d76ac41c557074003736a9e,53391027be4b239c071cf9c4e01161db78fb91517176b159548fa6cd42e51a9d,26,1,20,0.4,0.7534624294507144,0.16707698948798017,0.0,0.35,0.0,0.6,-0.07787121023972654,0.11756586765487698,0.0,0.4,0.0
graph_00,industrial_cooling_system,shuffle_02,2,74103,"[9, 5, 0, 3, 19, 8, 16, 12, 17, 13, 6, 14, 18, 1, 4, 10, 7, 15, 2, 11]",66cbf79aee4a7374bd3cd12a7410a6dc0156f3172ed2f6dc27fc2f4afb40ce16,2501ed65af3c1773066f8886ca67e0f0292ee206d366c718d59533e0f63175ae,26,1,20,0.65,0.7729567036459302,0.1980660311910312,0.0,0.5,0.0,0.35,-0.0973654844349423,0.08657682595182595,0.0,0.25,0.0
graph_00,industrial_cooling_system,shuffle_03,3,74104,"[0, 9, 5, 6, 15, 8, 14, 17, 3, 11, 4, 2, 7, 12, 16, 19, 1, 10, 13, 18]",abdd8027ab503e86ae7a1c66bc7cc180e37295fc3d0ae0b25543082f73484da1,8e098549c27ed80f56b62f4bef6d7d5b776f7622c6af4b5301aea4b8bbb30ccf,26,1,20,0.3,0.7113550904393613,0.18806727994227992,0.0,0.45,0.0,0.7,-0.035763871228373434,0.09657557720057722,0.0,0.3,0.0
graph_00,industrial_cooling_system,shuffle_04,4,74105,"[5, 2, 3, 17, 16, 7, 13, 4, 0, 9, 12, 1, 14, 15, 10, 11, 19, 8, 6, 18]",adfcf009744b5f27a9bd9c749a548587eb8907b3938ad07282d29c7617f9bae4,592c700cc2770ec64e43745377b8f0b0012f28c80f9b082f7959efc788e377b6,26,1,20,0.4,0.7853616234926217,0.15643460190480316,0.0,0.35,0.0,0.6,-0.10977040428163387,0.128208255238054,0.0,0.4,0.0
graph_00,industrial_cooling_system,shuffle_05,5,74106,"[5, 4, 3, 1, 9, 8, 15, 14, 2, 19, 18, 6, 10, 13, 17, 7, 0, 16, 12, 11]",8fd788bcfb7ec12217126fe932c8d601d820eff6d3eaee124e800e5ce70e0bb9,6a21eec5dc5c631470eb8b26f5bb6b0f03cb59d4e9f2336b7323a12d66d9bccc,26,1,20,0.35,0.7943513844307004,0.17511435051876229,0.0,0.35,0.0,0.65,-0.11876016521971255,0.10952850662409486,0.0,0.4,0.0
graph_00,industrial_cooling_system,shuffle_06,6,74107,"[6, 3, 10, 8, 19, 17, 14, 11, 7, 5, 16, 13, 18, 15, 4, 9, 12, 2, 0, 1]",198ad97e39e52ada695ff3a9b8920352d33d62b31ccc7533d593531b411ab6f6,8abe0479f6213e4c50c60440fad79defaee2245b9485211b6d16c0afdee56765,26,1,20,0.3,0.7045663049661666,0.12004992449071399,0.0,0.2,0.0,0.7,-0.02897508575517871,0.16459293265214314,0.0,0.55,0.0
graph_00,industrial_cooling_system,shuffle_07,7,74108,"[18, 7, 9, 4, 3, 8, 12, 13, 1, 16, 17, 15, 11, 5, 6, 2, 14, 19, 0, 10]",c3ea6aecc7c84f803d7225462ed7f4a8a512fb55a7e5ed9e87ce55b2d56c95bb,aab495e6a164f65d8d79794ac52fa7f72f4bff468eb7a3b14d686c6b5d9c41db,26,1,20,0.15,0.7575001220282698,0.1108662609320504,0.0,0.1,0.0,0.85,-0.08190890281728191,0.17377659621080674,0.0,0.65,0.0
graph_00,industrial_cooling_system,shuffle_08,8,74109,"[12, 0, 9, 19, 13, 7, 14, 11, 2, 3, 17, 16, 6, 8, 10, 1, 5, 4, 18, 15]",76218af1343f62f7bac6dd793eb5f824374864976ff276da8ccf61b36abf05e6,636f2fb40f999a5fe6ef81d6e5e27b7fd4ba2eb1dac6b57dbd8074ce42783e18,26,1,20,0.4,0.6680775227939367,0.17630096511675458,0.05,0.25,0.05,0.6,0.00751369641705113,0.10834189202610256,-0.05,0.5,-0.05
graph_00,industrial_cooling_system,shuffle_09,9,74110,"[0, 5, 16, 17, 13, 7, 3, 10, 14, 12, 15, 1, 11, 18, 6, 4, 19, 9, 2, 8]",57ac67e95993e121f07dc852ee3adcb8632599e231758478036d2d41f8436a27,6714dc1e8604236dfc983ef8b570fd9e7253088048a9025b3267721808b5be3b,26,1,20,0.25,0.5994462376428176,0.1257802818096936,0.0,0.2,0.0,0.75,0.07614498156817029,0.15886257533316353,0.0,0.55,0.0
