scope,graph_id,arm,diagnostic,stratum,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode
aggregate,aggregate,core_oracle_estimated_weights,root_status,non_root,42,,pending,0.6666666666666666,0.850007758080527,0.19300096832991567,0.0,0.5238095238095238,0.0
aggregate,aggregate,core_oracle_estimated_weights,root_status,root,18,,pending,0.7222222222222222,0.5016680963605152,0.2846191843740863,0.0,0.6111111111111112,0.0
aggregate,aggregate,core_oracle_true_weights,root_status,non_root,42,,pending,0.6904761904761905,0.8758324789531226,0.18231841882051966,0.0,0.5,0.0
aggregate,aggregate,core_oracle_true_weights,root_status,root,18,,pending,0.6666666666666666,0.579739536158527,0.27752041894198753,0.0,0.6111111111111112,0.0
aggregate,aggregate,core_shuffled_graph,root_status,non_root,840,,pending,0.37023809523809526,0.7957457551500104,0.14500180121019904,0.002380952380952381,0.25357142857142856,0.002380952380952381
aggregate,aggregate,core_shuffled_graph,root_status,root,360,,pending,0.3888888888888889,0.584732740875093,0.1635797161477631,0.005555555555555556,0.29444444444444445,0.005555555555555556
aggregate,aggregate,core_reversed_graph,root_status,non_root,42,,pending,0.7142857142857143,0.8798189839124634,0.1831743419978714,0.0,0.40476190476190477,0.0
aggregate,aggregate,core_reversed_graph,root_status,root,18,,pending,0.7222222222222222,0.8670942364588435,0.2614690320572673,0.0,0.5555555555555556,0.0
aggregate,aggregate,raw_correlation,root_status,non_root,42,,pending,0.7380952380952381,0.9173395730843952,0.1079580656537755,0.0,0.11904761904761904,0.0
aggregate,aggregate,raw_correlation,root_status,root,18,,pending,0.6666666666666666,0.9125491530346572,0.1359554026220693,0.0,0.2222222222222222,0.0
aggregate,aggregate,uniform,root_status,non_root,42,,pending,0.2857142857142857,0.9155970774461867,0.09025890597927307,0.0,0.047619047619047616,0.0
aggregate,aggregate,uniform,root_status,root,18,,pending,0.2222222222222222,0.9147146856724186,0.09607487288730837,0.0,0.1111111111111111,0.0
graph,graph_00,core_oracle_estimated_weights,root_status,non_root,14,,pending,1.0,0.796394990248377,0.24948979591836734,0.0,0.7142857142857143,0.0
graph,graph_00,core_oracle_estimated_weights,root_status,root,6,,pending,1.0,0.39371575345707965,0.36666666666666664,0.0,0.8333333333333334,0.0
graph,graph_00,core_oracle_true_weights,root_status,non_root,14,,pending,0.9285714285714286,0.8417533749507543,0.22776360544217686,0.0,0.6428571428571429,0.0
graph,graph_00,core_oracle_true_weights,root_status,root,6,,pending,0.8333333333333334,0.48429274499228625,0.375,0.0,0.8333333333333334,0.0
graph,graph_00,core_shuffled_graph,root_status,non_root,280,,pending,0.39285714285714285,0.7745654908939132,0.15169093180150234,0.007142857142857143,0.2785714285714286,0.007142857142857143
graph,graph_00,core_shuffled_graph,root_status,root,120,,pending,0.35,0.5608039374060049,0.16157001949861857,0.0,0.2916666666666667,0.0
graph,graph_00,core_reversed_graph,root_status,non_root,14,,pending,0.9285714285714286,0.8730389827335439,0.24316457352171636,0.0,0.5,0.0
