row_type,scope,graph_id,arm,comparison,metric,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,mean,ci_low,ci_high,confidence_level,paired_win_rate,bootstrap_positive_rate,draws,seed,n_graphs,n_folds,n_nodes
arm,aggregate,aggregate,core_oracle_estimated_weights,,,60,,pending,0.6833333333333333,0.7455058595645234,0.22048643314316685,0.0,0.55,0.0,,,,,,,,,,,
arm,aggregate,aggregate,core_oracle_true_weights,,,60,,pending,0.6833333333333333,0.7870045961147437,0.21087901885696006,0.0,0.5333333333333333,0.0,,,,,,,,,,,
arm,aggregate,aggregate,core_reversed_graph,,,60,,pending,0.7166666666666667,0.8760015596763775,0.20666274901569015,0.0,0.45,0.0,,,,,,,,,,,
arm,aggregate,aggregate,core_shuffled_graph,,,1200,,pending,0.37583333333333335,0.7324418508675352,0.15057517569146825,0.0033333333333333335,0.2658333333333333,0.0033333333333333335,,,,,,,,,,,
arm,aggregate,aggregate,raw_correlation,,,60,,pending,0.7166666666666667,0.9159024470694737,0.11635726674426364,0.0,0.15,0.0,,,,,,,,,,,
arm,aggregate,aggregate,uniform,,,60,,pending,0.26666666666666666,0.9153323599140563,0.09200369605168365,0.0,0.06666666666666667,0.0,,,,,,,,,,,
comparison,aggregate,aggregate,,oracle_vs_shuffle,match_acc,,,,,,,,,,0.3075,0.010000000000000002,0.6133541666666665,0.95,0.6833333333333333,0.9791,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_shuffle,match_acc,,,,,,,,,,0.6199999999999999,0.5275,0.72,0.95,1.0,1.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_shuffle,match_acc,,,,,,,,,,0.1375,-0.19,0.475,0.95,0.5,0.7772,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_shuffle,match_acc,,,,,,,,,,0.1650000000000001,-0.16999999999999998,0.495,0.95,0.55,0.8173,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_shuffle,gold_embedding_cosine,,,,,,,,,,0.013064008696988138,-0.11063701560825354,0.08682310930287206,0.95,0.7666666666666667,0.6686,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_shuffle,gold_embedding_cosine,,,,,,,,,,-0.034845805636552776,-0.31732621789847054,0.12406865369672934,0.95,0.75,0.4527,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_shuffle,gold_embedding_cosine,,,,,,,,,,0.06907464123289737,0.0024141017556127907,0.12749820620702954,0.95,0.85,0.9781,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_shuffle,gold_embedding_cosine,,,,,,,,,,0.004963190494619796,-0.0809072859281197,0.08968813811885111,0.95,0.7,0.5471,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_shuffle,mrr,,,,,,,,,,0.06991125745169863,0.01474285100434481,0.1318284810785512,0.95,0.75,0.9964,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_shuffle,mrr,,,,,,,,,,0.12998819903221995,0.0779176246942235,0.19262993797648645,0.95,0.9,1.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_shuffle,mrr,,,,,,,,,,0.05769329472986593,0.0076110972044166605,0.11224014195809133,0.95,0.8,0.9894,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_shuffle,mrr,,,,,,,,,,0.022052278593010007,-0.020410465326673236,0.07822732200075463,0.95,0.55,0.7909,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_shuffle,recall_at_1,,,,,,,,,,-0.0033333333333333335,-0.010000000000000002,0.0,0.95,0.0,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_shuffle,recall_at_1,,,,,,,,,,-0.005,-0.02,0.0,0.95,0.0,0.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_shuffle,recall_at_1,,,,,,,,,,-0.0025,-0.01,0.0,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_shuffle,recall_at_1,,,,,,,,,,-0.0025,-0.01,0.0,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_shuffle,recall_at_5,,,,,,,,,,0.2841666666666667,0.06916666666666667,0.49416666666666664,0.95,0.55,0.997,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_shuffle,recall_at_5,,,,,,,,,,0.46749999999999997,0.25,0.665,0.95,0.75,1.0,10000,88173,1,5,20
