analysis,group,graph_id,world,fold,node_id,comparison,primary_arm,comparator_arm,comparator_instances,metric,primary_value,comparator_value,delta
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,gold_cosine,0.6491108969220913,0.8031416341309643,-0.15403073720887295
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,centered_cosine,0.040529047023761845,0.04222829913673503,-0.0016992521129731847
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,prediction_margin,-0.2182231340748726,-0.13992939064512144,-0.07829374342975115
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,mrr,0.16666666666666666,0.2,-0.033333333333333354
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_5,0.0,1.0,-1.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,gold_cosine,0.6491108969220913,0.5640949220804712,0.08501597484162016
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,centered_cosine,0.040529047023761845,-0.003998219222889023,0.04452726624665087
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,prediction_margin,-0.2182231340748726,-0.14616928158629588,-0.07205385248857671
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,mrr,0.16666666666666666,0.12497890997891,0.041687756687756664
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_5,0.0,0.2,-0.2
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,match_acc,1.0,0.25,0.75
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,gold_cosine,0.6491108969220913,0.9140682112787295,-0.26495731435663816
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,centered_cosine,0.040529047023761845,-0.3860593070947247,0.42658835411848656
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,prediction_margin,-0.2182231340748726,-0.01972494762523025,-0.19849818644964234
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,mrr,0.16666666666666666,0.06666666666666667,0.09999999999999999
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_5,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,match_acc,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_uniform,full_oracle,uniform,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,gold_cosine,0.6491108969220913,0.9070214599659662,-0.25791056304387483
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,centered_cosine,0.040529047023761845,-0.17275512471182344,0.21328417173558528
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,prediction_margin,-0.2182231340748726,-0.04399630260115894,-0.17422683147371365
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,mrr,0.16666666666666666,0.08333333333333333,0.08333333333333333
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_5,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,0,node_000,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,gold_cosine,0.6094464120241153,0.8931906545270113,-0.283744242502896
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,centered_cosine,0.3137287298473197,0.11181083054942448,0.20191789929789522
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,prediction_margin,-0.15908006323750445,-0.08855593655429084,-0.07052412668321362
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,mrr,0.5,0.5,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_5,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,gold_cosine,0.6094464120241153,0.640106899351476,-0.030660487327360708
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,centered_cosine,0.3137287298473197,0.024346807881211192,0.2893819219661085
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,prediction_margin,-0.15908006323750445,-0.12317247306398471,-0.03590759017351974
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,mrr,0.5,0.20897005772005772,0.2910299422799423
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_5,1.0,0.45,0.55
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,match_acc,1.0,0.55,0.44999999999999996
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,gold_cosine,0.6094464120241153,0.9233904121488898,-0.3139440001247745
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,centered_cosine,0.3137287298473197,-0.3978009763120476,0.7115297061593673
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,prediction_margin,-0.15908006323750445,-0.010873270694083947,-0.1482067925434205
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,mrr,0.5,0.125,0.375
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_5,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_uniform,full_oracle,uniform,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,gold_cosine,0.6094464120241153,0.9245158548459299,-0.3150694428218146
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,centered_cosine,0.3137287298473197,-0.032694527442255136,0.34642325728957485
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,prediction_margin,-0.15908006323750445,-0.021795458633938503,-0.13728460460356595
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,mrr,0.5,0.25,0.25
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_5,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,1,node_001,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,gold_cosine,0.6988864701384181,0.8631135410942203,-0.16422707095580225
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,centered_cosine,0.37989882180755297,0.20456483569056408,0.1753339861169889
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,prediction_margin,-0.1530485384444893,-0.09300325367493245,-0.06004528476955684
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,mrr,0.5,0.5,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_5,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,gold_cosine,0.6988864701384181,0.7401212922250912,-0.04123482208667306
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,centered_cosine,0.37989882180755297,0.007681905762955077,0.3722169160445979
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,prediction_margin,-0.1530485384444893,-0.09849603100657751,-0.054552507437911776
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,mrr,0.5,0.22096611721611717,0.27903388278388286
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_5,1.0,0.45,0.55
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,match_acc,1.0,0.55,0.44999999999999996
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,gold_cosine,0.6988864701384181,0.9231473169527963,-0.2242608468143782
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,centered_cosine,0.37989882180755297,-0.34259258321517927,0.7224914050227322
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,prediction_margin,-0.1530485384444893,-0.012818678339786671,-0.14022986010470262
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,mrr,0.5,0.1,0.4
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_5,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_uniform,full_oracle,uniform,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,gold_cosine,0.6988864701384181,0.9265144141448267,-0.22762794400640862
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,centered_cosine,0.37989882180755297,0.07922968206535508,0.3006691397421979
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,prediction_margin,-0.1530485384444893,-0.014575201959254436,-0.13847333648523485
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,mrr,0.5,0.2,0.3
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_5,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,match_acc,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,2,node_002,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,gold_cosine,0.5107206995473914,0.8481809236067506,-0.33746022405935916
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,centered_cosine,0.14662379698611322,0.09323089318957649,0.05339290379653673
