scope,graph_id,world,group,arm,n_instances,n_nodes,judge_acc,judge_status,displacement_norm,gold_cosine,centered_cosine,prediction_margin,mrr,recall_at_1,recall_at_5,match_acc,exact
aggregate,aggregate,aggregate,,full_oracle,60,60,,pending,0.14668594001281443,0.7455058595645234,0.107480761505218,-0.1114219801052761,0.22048643314316685,0.0,0.55,0.6833333333333333,0.0
aggregate,aggregate,aggregate,,generation_only_oracle,60,60,,pending,0.2544847859895429,0.7228670235064057,0.0891053340082656,-0.10960943689952671,0.22715074785895215,0.0,0.5,0.6833333333333333,0.0
aggregate,aggregate,aggregate,,oracle_without_generation,60,60,,pending,1.0439338276712502,0.30121272918994735,0.06317702503423189,-0.11452298742694787,0.2043773794431689,0.016666666666666666,0.4,0.65,0.016666666666666666
aggregate,aggregate,aggregate,,residual_only_oracle,60,60,,pending,0.0,0.7725206338282665,0.10694778228251739,-0.10088653862861156,0.21844001414821845,0.0,0.5166666666666667,0.7666666666666667,0.0
aggregate,aggregate,aggregate,,independence_only_oracle,60,60,,pending,4.003025263966055,0.32031571393788844,0.10680202818997302,-0.126643482559969,0.221374480281214,0.0,0.45,0.6833333333333333,0.0
aggregate,aggregate,aggregate,,symmetrized_oracle,60,60,,pending,0.6903299337019665,0.4122577326355756,0.08034070682188865,-0.1401965252266825,0.22851295999322313,0.0,0.6,0.75,0.0
aggregate,aggregate,aggregate,,markov_blanket_oracle,60,60,,pending,0.875226458965941,0.14530502265035194,0.05493061543602625,-0.14161929542975368,0.21572506197506194,0.0,0.5,0.6,0.0
aggregate,aggregate,aggregate,,same_module_graph,60,60,,pending,0.6509740228424231,0.6693576611496387,0.03337543704397241,-0.13654133505801314,0.18373203185703185,0.0,0.4,0.5166666666666667,0.0
aggregate,aggregate,aggregate,,reversed_full,60,60,,pending,0.5811969071492149,0.8766221678906252,0.08413826800840027,-0.07946371611367724,0.20992393227687342,0.0,0.48333333333333334,0.7166666666666667,0.0
aggregate,aggregate,aggregate,,shuffled_full,1200,60,,pending,0.8877777438635479,0.7447891843872291,0.0014252761686570365,-0.13063219740196005,0.15184884638638507,0.0,0.26916666666666667,0.37583333333333335,0.0
aggregate,aggregate,aggregate,,raw_correlation,60,60,,pending,0.5311345535357798,0.9159024470694737,-0.06939985051447649,-0.029500171477079094,0.11635726674426364,0.0,0.15,0.7166666666666667,0.0
aggregate,aggregate,aggregate,,uniform,60,60,,pending,0.5743707203832783,0.9153323599140563,-0.4156616031174958,-0.02365167068032117,0.09200369605168365,0.0,0.06666666666666667,0.26666666666666666,0.0
graph,graph_00,industrial_cooling_system,,full_oracle,20,20,,pending,0.18573033555507332,0.6755912192109879,0.17579365987407164,-0.10415909136773079,0.28464285714285714,0.0,0.75,1.0,0.0
graph,graph_00,industrial_cooling_system,,generation_only_oracle,20,20,,pending,0.21976170828988026,0.650737825346465,0.14304357473243995,-0.10648961211655747,0.3043102240896358,0.0,0.65,0.9,0.0
graph,graph_00,industrial_cooling_system,,oracle_without_generation,20,20,,pending,1.197363137560758,0.24423800852968744,0.086139047834278,-0.11418688209755497,0.2661452874610769,0.05,0.45,0.75,0.05
graph,graph_00,industrial_cooling_system,,residual_only_oracle,20,20,,pending,0.0,0.695372010307664,0.17762972881270464,-0.09569075550384135,0.28556022408963583,0.0,0.75,1.0,0.0
graph,graph_00,industrial_cooling_system,,independence_only_oracle,20,20,,pending,4.336364181174233,0.2970502300769166,0.15244337238784053,-0.12713276546082322,0.29881313131313125,0.0,0.7,0.9,0.0
graph,graph_00,industrial_cooling_system,,symmetrized_oracle,20,20,,pending,0.7995810953494034,0.31443672392130023,0.11261059781647062,-0.11924000313850602,0.28194444444444444,0.0,0.75,0.9,0.0
graph,graph_00,industrial_cooling_system,,markov_blanket_oracle,20,20,,pending,0.9352411691969827,0.12177491898151352,0.08370562396255056,-0.1105039806421531,0.2656746031746032,0.0,0.65,0.85,0.0
graph,graph_00,industrial_cooling_system,,same_module_graph,20,20,,pending,0.7455760729633313,0.700087146677764,0.06384742200962887,-0.13448079605725366,0.2036228354978355,0.0,0.45,0.75,0.0
graph,graph_00,industrial_cooling_system,,reversed_full,20,20,,pending,0.7273424383084358,0.8656637432974689,0.12859421698003506,-0.08151969700866529,0.2799175824175824,0.0,0.65,0.9,0.0
graph,graph_00,industrial_cooling_system,,shuffled_full,400,20,,pending,1.0337435021424912,0.7197188673126849,0.010259256972287556,-0.1327259073865387,0.15628185788025184,0.0,0.2975,0.405,0.0
graph,graph_00,industrial_cooling_system,,raw_correlation,20,20,,pending,0.6902452608845163,0.9146260646567672,-0.06024948721848981,-0.026071473152293696,0.114473764539554,0.0,0.2,0.8,0.0
graph,graph_00,industrial_cooling_system,,uniform,20,20,,pending,0.7288333876441155,0.9139748912782457,-0.4025949925278539,-0.019787134374748456,0.07957599267777286,0.0,0.0,0.4,0.0
graph,graph_01,logistics_and_delivery_system,,full_oracle,20,20,,pending,0.12208489343056791,0.811584567934097,0.10349066363195732,-0.09911489716430835,0.2044877344877345,0.0,0.5,0.5,0.0
graph,graph_01,logistics_and_delivery_system,,generation_only_oracle,20,20,,pending,0.27200460799559223,0.792409360022653,0.08372357969499726,-0.1007152625165922,0.1932359307359307,0.0,0.35,0.55,0.0
graph,graph_01,logistics_and_delivery_system,,oracle_without_generation,20,20,,pending,0.9566900374514337,0.33726152998292724,0.06294527581983868,-0.10621100094461386,0.18463429845008797,0.0,0.4,0.65,0.0
graph,graph_01,logistics_and_delivery_system,,residual_only_oracle,20,20,,pending,0.0,0.8411749073352197,0.10383946343815306,-0.0897937725697551,0.1973995448995449,0.0,0.4,0.7,0.0
graph,graph_01,logistics_and_delivery_system,,independence_only_oracle,20,20,,pending,3.5734111929701995,0.37329357036634386,0.11496414263691183,-0.11257822840622782,0.2041287878787879,0.0,0.4,0.55,0.0
graph,graph_01,logistics_and_delivery_system,,symmetrized_oracle,20,20,,pending,0.5520489828389639,0.5768366541780343,0.08051944599841357,-0.14393323967963567,0.2183023226773227,0.0,0.6,0.8,0.0
graph,graph_01,logistics_and_delivery_system,,markov_blanket_oracle,20,20,,pending,0.7929656926858593,0.21113476307975182,0.05759860594356046,-0.1619218070290949,0.19777652902652904,0.0,0.45,0.65,0.0
graph,graph_01,logistics_and_delivery_system,,same_module_graph,20,20,,pending,0.6032397535320885,0.6244920076856764,0.014202860038527018,-0.1271690634201132,0.16140262515262516,0.0,0.35,0.4,0.0
graph,graph_01,logistics_and_delivery_system,,reversed_full,20,20,,pending,0.4052612306162313,0.8847503335295797,0.06099811577791978,-0.07599004894369446,0.17107970460911634,0.0,0.35,0.65,0.0
graph,graph_01,logistics_and_delivery_system,,shuffled_full,400,20,,pending,0.8028111550070887,0.7560651046235745,-7.576197984826505e-05,-0.12687479036635999,0.14873930770167226,0.0,0.2475,0.3525,0.0
graph,graph_01,logistics_and_delivery_system,,raw_correlation,20,20,,pending,0.39150227169406804,0.9178264361156435,-0.05963680272700651,-0.03301580009683133,0.11999875124875123,0.0,0.15,0.55,0.0
graph,graph_01,logistics_and_delivery_system,,uniform,20,20,,pending,0.4370327235023902,0.9171407074149116,-0.4251342996859451,-0.024496639730412145,0.095083748810529,0.0,0.1,0.2,0.0
graph,graph_02,water_treatment_system,,full_oracle,20,20,,pending,0.1322425910528021,0.7493417915484855,0.04315796100962503,-0.13099195178378914,0.17232870779890902,0.0,0.4,0.55,0.0
graph,graph_02,water_treatment_system,,generation_only_oracle,20,20,,pending,0.2716880416831563,0.7254538851500989,0.04054884759735965,-0.1216234360654305,0.18390608875128997,0.0,0.5,0.6,0.0
graph,graph_02,water_treatment_system,,oracle_without_generation,20,20,,pending,0.97774830800156,0.32213864905722744,0.04044675144857902,-0.12317107923867483,0.16235255241834184,0.0,0.35,0.55,0.0
graph,graph_02,water_treatment_system,,residual_only_oracle,20,20,,pending,0.0,0.7810149838419164,0.03937415459669444,-0.11717508781223822,0.1723602734554747,0.0,0.4,0.6,0.0
