record_id,graph_id,world,fold,node_id,arm,shuffle_id,true_label,causal_description,module,is_root,is_sink,indegree,outdegree,has_visible_parent,visible_parent_count,visible_parents,has_visible_child,visible_child_count,visible_children,has_visible_same_module,visible_same_module_count,no_visible_structural_anchor,no_visible_any_candidate_anchor,motif_roles,primary_motif_role,structural_groups,optimization_applicable,initial_embedding_row,final_embedding_row,initial_embedding_ref,final_embedding_ref,initial_embedding_sha256,final_embedding_sha256,embedding_archive_sha256,displacement_norm,gold_cosine,centered_cosine,prediction_margin,rank,mrr,recall_at_1,recall_at_5,match_acc,exact,judge_acc,judge_status,decoder_alpha,decoded_words,nonfinite_seen,max_total_gradient_norm,max_parameter_norm
0,graph_00,industrial_cooling_system,0,node_000,full_oracle,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,True,False,0,1,False,0,[],True,1,"[""node_006""]",True,3,False,False,"[""other""]",other,"[""root"", ""no_visible_parent_visible_child""]",True,0,0,embeddings.npz#initial[0],embeddings.npz#final[0],5c1fe9b8b098af8ae6774ccfcbc41ef52d6c379c5bf3798aa82086475748bd9a,90fb892fa457d13109cacdc190b03564353b6c291c6fdd440c56499c9a9269df,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.2641912974659255,0.6491108969220913,0.040529047023761845,-0.2182231340748726,6,0.16666666666666666,0,0,1,0,,pending,0.0004179257024759095,"[""flow control"", ""width restriction"", ""coolant system""]",False,3.1998688336587935,1.2818914651870728
1,graph_00,industrial_cooling_system,0,node_007,full_oracle,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,False,False,2,2,True,2,"[""node_002"", ""node_006""]",True,2,"[""node_008"", ""node_016""]",True,3,False,False,"[""collider"", ""fork"", ""mediator""]",collider,"[""non_root"", ""non_root_visible_parent""]",True,1,1,embeddings.npz#initial[1],embeddings.npz#final[1],24f8350d1cfd3c6ddde4f098a87206da64ef72f99a798d55f23bf4ae01808568,76f7d0f58e3d2650e4866f4294eb4b051c84bd8c8e981633bbbe0f0b20ec476a,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.09578579327326282,0.908331493067402,0.3161711090522488,-0.03696436408398851,4,0.25,0,1,1,0,,pending,0.0004179257024759095,"[""pump failure"", ""temperature reduction"", ""performance degradation"", ""heat shrink"", ""wear and tear"", ""restoring energy""]",False,3.1998688336587935,1.2818914651870728
2,graph_00,industrial_cooling_system,0,node_012,full_oracle,,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,False,False,2,1,True,2,"[""node_010"", ""node_011""]",True,1,"[""node_014""]",True,4,False,False,"[""collider"", ""mediator""]",collider,"[""non_root"", ""non_root_visible_parent""]",True,2,2,embeddings.npz#initial[2],embeddings.npz#final[2],92058ed4b0a7aa92a11121b569edc1f911a50ca0fd7f9b124c8feb2c683a991e,845819f8700ee4c458d933ca6fb4bcc8916bcab30806da5a9c5b2a3100843771,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.11925153680292476,0.9270087350848031,0.3287330127159164,-0.018908910749798613,3,0.3333333333333333,0,1,1,0,,pending,0.0004179257024759095,"[""climate control"", ""intensity level"", ""expansion cooling"", ""risk appetite"", ""threatening demand"", ""call delay""]",False,3.1998688336587935,1.2818914651870728
3,graph_00,industrial_cooling_system,0,node_018,full_oracle,,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,False,False,1,1,True,1,"[""node_017""]",True,1,"[""node_019""]",True,4,False,False,"[""mediator"", ""chain""]",mediator,"[""non_root"", ""non_root_visible_parent""]",True,3,3,embeddings.npz#initial[3],embeddings.npz#final[3],46b381f64f82498ddc36c91b12e2438213430e44a65869709a89216be5da6e93,b60f888c2711fd78fb7bf6208ef5f03fbf8631d3c097d9cfd8ceecbc330da5ee,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.15693648482194084,0.8780650110324725,0.15662901300412807,-0.0951666070496856,4,0.25,0,1,1,0,,pending,0.0004179257024759095,"[""shutdown"", ""length of service"", ""duration"", ""turnaround time"", ""business interruption insurance""]",False,3.1998688336587935,1.2818914651870728
4,graph_00,industrial_cooling_system,0,node_000,generation_only_oracle,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,True,False,0,1,False,0,[],True,1,"[""node_006""]",True,3,False,False,"[""other""]",other,"[""root"", ""no_visible_parent_visible_child""]",True,4,4,embeddings.npz#initial[4],embeddings.npz#final[4],5c1fe9b8b098af8ae6774ccfcbc41ef52d6c379c5bf3798aa82086475748bd9a,b9cebadcbeccf35d115829dfd449a6d85575c9996d10e11e7d31f7da2e223e07,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.021143219664321297,0.7607570073911597,0.061314955649192954,-0.18528164691742544,5,0.2,0,1,0,0,,pending,0.0004179257024759095,"[""width restriction"", ""flow control"", ""coolant system""]",False,2.438035238322993,1.4378412961959839
5,graph_00,industrial_cooling_system,0,node_007,generation_only_oracle,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,False,False,2,2,True,2,"[""node_002"", ""node_006""]",True,2,"[""node_008"", ""node_016""]",True,3,False,False,"[""collider"", ""fork"", ""mediator""]",collider,"[""non_root"", ""non_root_visible_parent""]",True,5,5,embeddings.npz#initial[5],embeddings.npz#final[5],24f8350d1cfd3c6ddde4f098a87206da64ef72f99a798d55f23bf4ae01808568,c710e7d0ad1011849fb13c214c46dfa88466b93f9ac8c02983f1c4e8e4b4a3db,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.36561504695432906,0.7876489671561343,0.059517665383578985,-0.10024867840248264,6,0.16666666666666666,0,0,0,0,,pending,0.0004179257024759095,"[""removest"", ""heat-absorbing"", ""heat shrink"", ""temporary removal"", ""failed repair"", ""replacement event""]",False,2.438035238322993,1.4378412961959839
6,graph_00,industrial_cooling_system,0,node_012,generation_only_oracle,,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,False,False,2,1,True,2,"[""node_010"", ""node_011""]",True,1,"[""node_014""]",True,4,False,False,"[""collider"", ""mediator""]",collider,"[""non_root"", ""non_root_visible_parent""]",True,6,6,embeddings.npz#initial[6],embeddings.npz#final[6],92058ed4b0a7aa92a11121b569edc1f911a50ca0fd7f9b124c8feb2c683a991e,cf850254f6d617c789970bb10c40d556054239ae1628fa62e0f22c1dec3c9e64,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.35652150289556284,0.8523171663490362,0.14670873740349138,-0.05920233062884683,3,0.3333333333333333,0,1,1,0,,pending,0.0004179257024759095,"[""control brief"", ""call delay"", ""response time"", ""control condition"", ""climate control"", ""delay slot""]",False,2.438035238322993,1.4378412961959839
7,graph_00,industrial_cooling_system,0,node_018,generation_only_oracle,,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,False,False,1,1,True,1,"[""node_017""]",True,1,"[""node_019""]",True,4,False,False,"[""mediator"", ""chain""]",mediator,"[""non_root"", ""non_root_visible_parent""]",True,7,7,embeddings.npz#initial[7],embeddings.npz#final[7],46b381f64f82498ddc36c91b12e2438213430e44a65869709a89216be5da6e93,83c90325f50565d21af9ebbb434c2d528e718aaf551a2d5b4e07a5819310b67b,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.408858960777406,0.8771070880344233,0.2249090309266458,-0.05308244823677721,3,0.3333333333333333,0,1,1,0,,pending,0.0004179257024759095,"[""shipping and handling"", ""time delay"", ""delay payment"", ""delayment"", ""turnaround time"", ""tail risk""]",False,2.438035238322993,1.4378412961959839
8,graph_00,industrial_cooling_system,0,node_000,oracle_without_generation,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,True,False,0,1,False,0,[],True,1,"[""node_006""]",True,3,False,False,"[""other""]",other,"[""root"", ""no_visible_parent_visible_child""]",True,8,8,embeddings.npz#initial[8],embeddings.npz#final[8],5c1fe9b8b098af8ae6774ccfcbc41ef52d6c379c5bf3798aa82086475748bd9a,2de171ee156c9e6fb3ee0aa3f19adbf637b1138daa94f286e607db0d7c862ecc,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,0.9332341773744892,0.10407160500051668,0.0340573149742068,-0.2334944158288247,8,0.125,0,0,0,0,,pending,0.0004179257024759095,[],False,1.3735135681263644,1.5552928447723389
9,graph_00,industrial_cooling_system,0,node_007,oracle_without_generation,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,False,False,2,2,True,2,"[""node_002"", ""node_006""]",True,2,"[""node_008"", ""node_016""]",True,3,False,False,"[""collider"", ""fork"", ""mediator""]",collider,"[""non_root"", ""non_root_visible_parent""]",True,9,9,embeddings.npz#initial[9],embeddings.npz#final[9],24f8350d1cfd3c6ddde4f098a87206da64ef72f99a798d55f23bf4ae01808568,d6df9f1c3f6adea5d2b16637e8f43c0191effd5f39906795bfbcac856ae3a79a,8cfc774f015d267299544b033981378caf677a767096efaa44e8135270d4ee8b,1.0655678477409498,0.32282134050297107,0.2838054066126381,0.00013290878850624743,1,1.0,1,1,1,1,,pending,0.0004179257024759095,[],False,1.3735135681263644,1.5552928447723389
